Date,White1,White2,White3,White4,White5,Powerball
2016-08-03,9,11,27,66,67,2
2016-08-06,20,33,36,47,52,12
2016-08-10,23,56,61,64,67,12
2016-08-13,38,44,60,64,69,6
2016-08-17,33,44,49,50,52,8
2016-08-20,3,6,21,60,68,24
2016-08-24,9,11,25,64,65,16
2016-08-27,4,32,48,49,63,20
2016-08-31,5,10,24,56,61,12
2016-09-03,7,39,50,59,67,25
2016-09-07,22,23,29,33,55,21
2016-09-10,3,17,49,55,68,8
2016-09-14,10,11,23,28,31,14
2016-09-17,9,19,51,55,62,14
2016-09-21,1,28,63,67,69,17
2016-09-24,7,15,20,29,41,22
2016-09-28,30,38,52,53,62,1
2016-10-01,2,12,50,61,64,1
2016-10-05,8,18,27,29,60,15
2016-10-08,3,54,61,64,68,9
2016-10-12,16,30,34,37,44,16
2016-10-15,23,49,57,64,67,20
2016-10-19,10,16,38,43,63,23
2016-10-22,1,28,33,55,56,22
2016-10-26,2,3,16,48,56,24
2016-10-29,19,20,21,42,48,23
2016-11-02,13,18,37,54,61,5
2016-11-05,21,31,50,51,69,8
2016-11-09,1,25,28,31,54,2
2016-11-12,8,17,20,27,52,24
2016-11-16,28,41,61,63,65,7
2016-11-19,16,24,28,43,61,21
2016-11-23,7,32,41,47,61,3
2016-11-26,17,19,21,37,44,16
2016-11-30,3,14,18,25,45,7
2016-12-03,8,10,26,27,33,22
2016-12-07,41,48,49,53,64,20
2016-12-10,12,21,32,44,66,15
2016-12-14,18,26,37,39,66,15
2016-12-17,1,8,16,40,48,10
2016-12-21,25,33,40,54,68,3
2016-12-24,28,38,42,51,52,21
2016-12-28,16,23,30,44,58,4
2016-12-31,1,3,28,57,67,9
2017-01-04,16,17,29,41,42,4
2017-01-07,3,12,24,37,63,10
2017-01-11,1,3,13,16,43,24
2017-01-14,23,55,59,64,69,13
2017-01-18,9,40,41,53,58,12
2017-01-21,23,25,45,52,67,2
2017-01-25,18,28,62,66,68,22
